国家,中国,中国
表名,国内生产总值指数:上年=100(年),国内生产总值指数:1978年=100(年)
指标名称,GDP指数,GDP指数:1978年=100:国内生产总值
频率,年,年
单位,上年=100,1978年=100
指标ID,M0001411,M0024731
时间区间,1953:2016,1978:2015
1953,115.60 ,
1954,104.30 ,
1955,106.90 ,
1956,115.00 ,
1957,105.10 ,
1958,121.30 ,
1959,109.00 ,
1960,100.00 ,
1961,72.70 ,
1962,94.40 ,
1963,110.30 ,
1964,118.20 ,
1965,117.00 ,
1966,110.70 ,
1967,94.30 ,
1968,95.90 ,
1969,116.90 ,
1970,119.30 ,
1971,107.10 ,
1972,103.80 ,
1973,107.80 ,
1974,102.30 ,
1975,108.70 ,
1976,98.40 ,
1977,107.60 ,
1978,111.70 ,100.00 
1979,107.60 ,107.60 
1980,107.80 ,116.00 
1981,105.10 ,122.00 
1982,109.00 ,132.90 
1983,110.80 ,147.30 
1984,115.20 ,169.60 
1985,113.40 ,192.40 
1986,108.90 ,209.60 
1987,111.70 ,234.10 
1988,111.20 ,260.40 
1989,104.20 ,271.30 
1990,103.90 ,281.90 
1991,109.30 ,308.10 
1992,114.20 ,351.90 
1993,113.90 ,400.70 
1994,113.00 ,453.00 
1995,111.00 ,502.60 
1996,109.90 ,552.50 
1997,109.20 ,603.50 
1998,107.80 ,650.80 
1999,107.70 ,700.70 
2000,108.50 ,760.20 
2001,108.30 ,823.60 
2002,109.10 ,898.80 
2003,110.00 ,989.00 
2004,110.10 ,"1,089.00 "
2005,111.40 ,"1,213.10 "
2006,112.70 ,"1,367.40 "
2007,114.20 ,"1,562.00 "
2008,109.70 ,"1,712.80 "
2009,109.40 ,"1,873.80 "
2010,110.60 ,"2,073.10 "
2011,109.50 ,"2,270.80 "
2012,107.90 ,"2,449.20 "
2013,107.80 ,"2,639.20 "
2014,107.30 ,"2,831.80 "
2015,106.90 ,"3,027.60 "
2016,106.70 ,
