Stkcd,T1,Subbgdt,Listdt
1,A,1989/3/10,1991/4/3
2,A,1988/12/28,1991/1/29
3,A,1989/2/28,1991/7/3
4,A,1989/12/23,1991/1/14
5,A,1990/3/3,1990/12/10
6,A,1989/8/1,1992/4/27
7,A,1988/12/1,1992/4/13
8,A,1989/10/1,1992/5/7
9,A,1991/6/14,1991/6/25
10,A,1993/6/1,1995/10/27
11,A,1991/10/1,1992/3/30
12,B,1991/12/3,1992/2/28
13,A,1991/12/11,1992/5/6
14,A,1991/12/19,1992/6/2
15,A,1991/12/14,1992/6/25
16,B,1991/12/24,1992/3/27
17,B,1991/12/28,1992/3/31
18,A,1992/1/7,1992/6/16
19,A,1991/12/1,1992/10/12
20,A,1992/1/20,1992/4/28
21,A,1993/11/22,1994/2/2
22,A,1993/2/18,1993/5/5
23,A,1993/3/1,1993/4/29
24,A,1993/3/15,1993/6/7
25,B,1993/3/15,1993/6/21
26,A,1993/3/10,1993/6/3
27,A,1993/4/6,1993/9/3
28,A,1993/5/5,1993/8/9
29,A,1993/6/21,1993/9/15
30,A,1993/6/28,1993/9/29
31,A,1993/8/8,1993/10/8
32,A,1993/8/12,1993/10/28
33,A,1993/9/30,1994/1/3
34,A,1993/10/18,1994/5/9
35,A,1993/11/24,1994/4/8
36,A,1993/12/13,1994/6/17
37,A,1994/1/3,1994/7/1
38,A,1993/12/10,1994/8/8
39,B,1994/2/1,1994/4/8
40,A,1994/2/18,1994/8/8
42,A,1994/5/26,1994/9/21
43,A,1994/6/6,1994/9/28
45,A,1994/5/28,1994/8/15
46,A,1994/5/31,1994/9/12
47,A,1994/6/20,1994/10/21
48,A,1994/6/23,1994/11/1
49,A,1995/1/10,1995/3/20
50,A,1995/1/16,1995/3/15
55,B,1996/3/29,1996/4/15
56,B,1996/6/21,1996/7/8
58,B,1996/12/12,1996/12/26
59,A,1997/1/3,1997/1/30
60,A,1997/1/10,1997/1/23
61,A,1996/12/26,1997/1/10
62,A,1997/1/20,1997/1/30
63,A,1997/10/6,1997/11/18
65,A,1998/4/16,1998/6/5
66,A,1997/6/10,1997/6/26
68,A,1997/5/21,1997/6/11
69,A,1997/8/4,1997/9/10
70,A,2000/3/24,2000/5/11
78,A,1998/8/7,1998/12/18
88,A,1997/7/7,1997/7/28
89,A,1998/3/11,1998/4/20
90,A,1999/7/1,1999/7/21
96,A,2000/7/10,2000/7/24
99,A,2000/7/3,2000/7/31
100,A,2004/1/7,2004/1/30
150,A,2000/7/21,2000/8/7
151,A,2000/8/14,2000/9/6
153,A,2000/9/7,2000/9/20
155,A,2000/9/8,2000/9/26
156,A,2000/8/18,2000/9/6
157,A,2000/9/15,2000/10/12
158,A,2000/7/6,2000/7/24
159,A,2000/9/1,2000/9/26
166,A,2015/1/25,2015/1/26
301,A,2000/4/13,2000/5/29
333,A,2013/9/17,2013/9/18
338,A,2007/4/30,2007/4/30
400,A,1997/4/2,1997/4/18
401,A,1996/5/30,1996/6/14
402,A,1996/6/6,1996/6/26
403,A,1996/6/7,1996/6/28
404,A,1996/5/27,1996/6/19
405,A,1996/5/28,1996/6/20
406,A,1996/6/12,1996/6/28
407,A,1996/6/19,1996/7/3
408,A,1996/6/13,1996/6/28
409,A,1996/6/12,1996/6/27
