Stkcd,Accper,Indcd,F100102B
1,2000/6/30,J66,79.051807
1,2000/12/31,J66,55.775813
1,2001/6/30,J66,66.731581
1,2001/12/31,J66,59.241217
1,2002/3/31,J66,29.168639
1,2002/6/30,J66,46.455732
1,2002/9/30,J66,47.887191
1,2002/12/31,J66,47.224658
1,2003/3/31,J66,37.409127
1,2003/6/30,J66,39.91106
1,2003/9/30,J66,42.49006
1,2003/12/31,J66,52.311392
1,2004/3/31,J66,24.190254
1,2004/6/30,J66,29.283969
1,2004/9/30,J66,29.256311
1,2004/12/31,J66,44.251575
1,2005/3/31,J66,16.443861
1,2005/6/30,J66,27.805927
1,2005/9/30,J66,22.94056
1,2005/12/31,J66,33.967629
1,2006/3/31,J66,14.051108
1,2006/6/30,J66,15.864711
1,2006/9/30,J66,13.375818
1,2006/12/31,J66,21.610181
1,2007/3/31,J66,17.164196
1,2007/6/30,J66,25.546463
1,2007/9/30,J66,33.396067
1,2007/12/31,J66,33.407076
1,2008/3/31,J66,16.101184
1,2008/6/30,J66,10.769352
1,2008/9/30,J66,8.096496
1,2008/12/31,J66,47.84321
1,2009/3/31,J66,11.028793
1,2009/6/30,J66,14.657983
1,2009/9/30,J66,12.812602
1,2009/12/31,J66,15.043431
1,2010/3/31,J66,11.413289
1,2010/6/30,J66,10.05938
1,2010/9/30,J66,8.955584
1,2010/12/31,J66,8.757158
1,2011/3/31,J66,5.832055
1,2011/6/30,J66,6.286177
1,2011/9/30,J66,7.957816
1,2011/12/31,J66,7.687127
1,2012/3/31,J66,5.756555
1,2012/6/30,J66,5.653196
1,2012/9/30,J66,4.876505
1,2012/12/31,J66,6.074858
1,2013/3/31,J66,7.179908
1,2013/6/30,J66,5.425846
1,2013/9/30,J66,6.244466
1,2013/12/31,J66,7.657557
1,2014/3/31,J66,5.072278
1,2014/6/30,J66,5.620619
1,2014/9/30,J66,5.536328
1,2014/12/31,J66,9.139077
1,2015/3/31,J66,7.991817
1,2015/6/30,J66,8.979407
1,2015/9/30,J66,6.345888
1,2015/12/31,J66,7.846554
1,2016/3/31,J66,6.254016
1,2016/6/30,J66,6.076269
1,2016/9/30,J66,6.239592
1,2016/12/31,J66,6.91389
2,2000/6/30,K70,35.549177
2,2000/12/31,K70,28.367424
2,2001/6/30,K70,26.241893
2,2001/12/31,K70,22.052756
2,2002/3/31,K70,65.462065
2,2002/6/30,K70,29.316685
2,2002/9/30,K70,28.912878
2,2002/12/31,K70,15.296902
2,2003/3/31,K70,47.026738
2,2003/6/30,K70,19.241647
2,2003/9/30,K70,22.290045
2,2003/12/31,K70,16.131837
2,2004/3/31,K70,30.126616
2,2004/6/30,K70,16.562938
2,2004/9/30,K70,23.186806
2,2004/12/31,K70,13.103856
2,2005/3/31,K70,12.606514
2,2005/6/30,K70,6.585435
2,2005/9/30,K70,10.329813
2,2005/12/31,K70,11.193314
2,2006/3/31,K70,16.570286
2,2006/6/30,K70,9.140425
2,2006/9/30,K70,16.527467
2,2006/12/31,K70,29.22806
2,2007/3/31,K70,29.417129
2,2007/6/30,K70,34.796805
2,2007/9/30,K70,74.452818
2,2007/12/31,K70,37.271017
2,2008/3/31,K70,59.294963
2,2008/6/30,K70,21.473995
2,2008/9/30,K70,20.441341
2,2008/12/31,K70,15.284721
2,2009/3/31,K70,25.615076
2,2009/6/30,K70,22.60946
2,2009/9/30,K70,23.413621
2,2009/12/31,K70,18.484927
2,2010/3/31,K70,22.20631
2,2010/6/30,K70,11.792431
2,2010/9/30,K70,18.106702
2,2010/12/31,K70,10.224503
2,2011/3/31,K70,20.073784
2,2011/6/30,K70,14.28271
2,2011/9/30,K70,14.539434
2,2011/12/31,K70,7.080777
2,2012/3/31,K70,14.870558
2,2012/6/30,K70,10.800111
2,2012/9/30,K70,11.310891
2,2012/12/31,K70,7.104509
2,2013/3/31,K70,16.546712
2,2013/6/30,K70,10.165611
2,2013/9/30,K70,10.087319
2,2013/12/31,K70,4.833991
2,2014/3/31,K70,13.597852
2,2014/6/30,K70,8.292636
2,2014/9/30,K70,9.974034
2,2014/12/31,K70,7.954435
2,2015/3/31,K70,42.029957
2,2015/6/30,K70,11.8137
2,2015/9/30,K70,11.059892
2,2015/12/31,K70,10.404498
2,2016/9/30,K70,19.190974
2,2016/12/31,K70,8.001853
3,2000/6/30,S90,-14.469941
3,2000/12/31,S90,-4.177227
3,2001/6/30,S90,-23.692543
3,2001/12/31,S90,104.188162
3,2002/3/31,S90,-42.140285
4,2000/6/30,G54,153.97907
4,2000/12/31,G54,123.234637
4,2001/6/30,G54,76.878651
4,2001/12/31,G54,143.994868
4,2002/3/31,G54,-258.44738
4,2002/6/30,G54,-141.040818
4,2002/9/30,G54,-2019.112934
4,2002/12/31,G54,153.275481
4,2003/3/31,G54,-211.469786
4,2003/6/30,G54,-215.3886
4,2003/9/30,G54,-403.448179
4,2003/12/31,G54,92.093895
4,2004/3/31,G54,-58.536295
4,2004/6/30,G54,-106.811293
4,2004/9/30,G54,-453.216549
4,2004/12/31,G54,-174.198308
4,2005/3/31,G54,-91.478817
4,2005/6/30,G54,-89.735656
4,2005/9/30,G54,-52.789113
4,2005/12/31,G54,-18.71431
4,2006/6/30,G54,-176.818259
4,2006/9/30,G54,-58.605065
4,2006/12/31,G54,112.696058
4,2007/3/31,G54,315.614926
4,2007/6/30,G54,-75.37496
4,2007/9/30,G54,-133.220112
4,2007/12/31,G54,-83.624299
4,2008/3/31,G54,-377.961267
4,2008/6/30,G54,-158.525483
4,2008/9/30,G54,-81.716905
4,2008/12/31,G54,-26.032045
4,2009/3/31,G54,-150.28506
4,2009/6/30,G54,-407.393081
4,2009/9/30,G54,-234.92247
4,2010/3/31,G54,242.368053
4,2010/6/30,G54,55.088546
4,2010/9/30,C27,41.27465
4,2010/12/31,C27,50.050276
4,2011/3/31,C27,203.003421
4,2011/6/30,C27,177.155112
4,2011/9/30,C27,145.54785
4,2011/12/31,C27,73.900398
4,2012/3/31,C27,146.855309
4,2012/6/30,C27,257.340534
4,2012/9/30,C27,145.381173
4,2012/12/31,C27,87.907534
4,2013/3/31,C27,70.471414
4,2013/6/30,C27,101.037819
4,2013/9/30,C27,107.022037
4,2013/12/31,C27,168.771881
4,2014/3/31,C27,-79.034509
4,2014/6/30,C27,-122.988941
4,2014/9/30,C27,-293.715726
4,2014/12/31,C27,83.682085
4,2015/3/31,C27,-286.489649
4,2015/6/30,C27,366.50973
4,2015/9/30,C27,214.620705
4,2015/12/31,C27,562.118203
4,2016/3/31,C27,-270.932416
4,2016/9/30,C27,115.121944
4,2016/12/31,C27,94.937131
5,2000/6/30,S90,3342.914319
5,2000/12/31,S90,-473.020205
5,2001/6/30,S90,-1115.066637
5,2001/12/31,S90,-50.835985
5,2002/3/31,S90,-189.646705
5,2002/6/30,S90,-82.565624
5,2002/9/30,S90,-89.875691
5,2002/12/31,S90,-34.491294
5,2003/3/31,S90,-55.462191
5,2003/6/30,S90,-84.226866
5,2003/9/30,S90,-135.499184
5,2003/12/31,S90,2054.480568
5,2004/3/31,S90,687.570893
5,2004/6/30,S90,899.519848
5,2004/9/30,S90,1105.945842
5,2004/12/31,S90,922.332257
5,2005/3/31,S90,-52.510269
5,2005/6/30,S90,-30.022797
5,2005/9/30,S90,-32.998274
5,2005/12/31,S90,-6.457767
5,2006/6/30,S90,20.913926
5,2006/12/31,S90,41.530969
5,2007/3/31,S90,33.957691
5,2007/9/30,S90,59.838943
5,2007/12/31,S90,84.018586
5,2008/3/31,S90,693.436895
5,2008/6/30,S90,318.170845
5,2008/9/30,S90,175.063725
5,2008/12/31,S90,215.962651
5,2009/3/31,S90,227.259173
5,2009/6/30,S90,-884.914414
5,2009/9/30,S90,-238.689459
5,2009/12/31,S90,-112.517198
5,2010/3/31,S90,-197.631535
5,2010/6/30,S90,-109.378571
5,2010/9/30,S90,-112.978342
5,2010/12/31,S90,-758.091026
5,2011/3/31,S90,-147.155923
5,2012/6/30,S90,-47.032032
5,2012/9/30,S90,-145.9849
5,2012/12/31,K70,123.313865
5,2013/3/31,K70,-66.827196
5,2013/6/30,K70,-46.415229
5,2013/9/30,K70,-58.170356
5,2013/12/31,K70,-53.981514
5,2014/3/31,K70,-66.609168
5,2014/6/30,K70,-40.96746
5,2014/9/30,K70,-84.78449
5,2014/12/31,K70,86.849519
5,2015/6/30,K70,-180.985823
5,2015/9/30,K70,-142.040927
5,2015/12/31,K70,-196.693916
5,2016/3/31,K70,-316.120132
5,2016/6/30,N77,30.378951
5,2016/9/30,N77,41.014425
5,2016/12/31,N77,61.179557
6,2000/6/30,K70,43.270349
6,2000/12/31,K70,24.543648
6,2001/6/30,K70,29.781539
6,2001/12/31,K70,21.359958
6,2002/3/31,K70,136.89191
6,2002/6/30,K70,42.814878
6,2002/9/30,K70,36.579054
6,2002/12/31,K70,25.428973
6,2003/3/31,K70,-38.934766
6,2003/6/30,K70,152.866737
6,2003/9/30,K70,-25.339738
6,2003/12/31,K70,-4.326764
6,2004/3/31,K70,-83.06057
6,2004/6/30,K70,-10.334718
6,2004/9/30,K70,-18.509573
6,2004/12/31,K70,21.474603
6,2005/3/31,K70,30.982995
6,2005/6/30,K70,-63.749145
6,2005/9/30,K70,40.95323
6,2005/12/31,K70,10.389645
6,2006/3/31,K70,11.536509
6,2006/6/30,K70,5.791083
6,2006/9/30,K70,9.045663
6,2006/12/31,K70,15.783555
6,2007/3/31,K70,67.368958
6,2007/6/30,K70,40.331631
6,2007/9/30,K70,52.365758
6,2007/12/31,K70,26.273068
6,2008/3/31,K70,6.759383
6,2008/6/30,K70,8.311372
6,2008/9/30,K70,8.092614
6,2008/12/31,K70,16.646
6,2009/3/31,K70,18.453158
6,2009/6/30,K70,30.900879
6,2009/9/30,K70,21.446191
6,2009/12/31,K70,17.141983
6,2010/3/31,K70,40.103058
6,2010/6/30,K70,19.915468
6,2010/9/30,K70,32.256173
6,2010/12/31,K70,10.680713
6,2011/3/31,K70,27.721071
6,2011/6/30,K70,21.537223
6,2011/9/30,K70,13.579578
6,2011/12/31,K70,9.340639
6,2012/3/31,K70,16.146963
6,2012/6/30,K70,10.464459
6,2012/9/30,K70,11.107434
6,2012/12/31,K70,10.108978
6,2013/3/31,K70,23.241317
6,2013/6/30,K70,10.597961
6,2013/9/30,K70,12.969543
6,2013/12/31,K70,9.534941
6,2014/3/31,K70,60.242852
6,2014/6/30,K70,63.504768
6,2014/9/30,K70,24.889069
6,2014/12/31,K70,18.572347
6,2015/3/31,K70,14.108064
6,2015/6/30,K70,34.129624
6,2015/9/30,K70,33.093081
6,2015/12/31,K70,35.412356
6,2016/3/31,K70,56.102905
