Stkcd,Accper,Typrep
13,2002/3/31,A
13,2002/6/30,A
13,2002/9/30,A
13,2002/12/31,A
13,2002/1/1,A
13,2003/3/31,A
13,2003/6/30,A
13,2003/9/30,A
13,2003/9/30,B
13,2003/12/31,A
13,2003/12/31,B
13,2003/1/1,A
13,2003/1/1,B
13,2004/3/31,A
13,2004/3/31,B
13,2004/6/30,A
13,2004/6/30,B
47,2002/3/31,A
47,2002/6/30,A
47,2002/9/30,A
155,2002/3/31,A
155,2002/6/30,A
155,2002/9/30,A
155,2002/12/31,A
155,2002/1/1,A
155,2003/3/31,A
155,2003/6/30,A
155,2003/9/30,A
155,2003/12/31,A
155,2003/1/1,A
155,2004/3/31,A
155,2004/6/30,A
155,2004/6/30,B
155,2004/9/30,A
155,2004/9/30,B
155,2004/12/31,A
155,2004/12/31,B
155,2004/1/1,A
155,2005/3/31,A
155,2005/3/31,B
155,2005/6/30,A
155,2005/6/30,B
155,2005/9/30,A
155,2005/9/30,B
155,2005/12/31,A
155,2005/12/31,B
155,2005/1/1,A
155,2005/1/1,B
155,2006/3/31,A
155,2006/3/31,B
155,2006/6/30,A
155,2006/6/30,B
155,2006/9/30,A
155,2006/9/30,B
155,2006/12/31,A
155,2006/12/31,B
155,2006/1/1,A
155,2006/1/1,B
155,2007/3/31,A
155,2007/3/31,B
155,2007/6/30,A
155,2007/6/30,B
155,2007/9/30,A
155,2007/9/30,B
155,2007/12/31,A
155,2007/12/31,B
155,2007/1/1,A
155,2007/1/1,B
155,2008/3/31,A
155,2008/3/31,B
155,2008/6/30,A
155,2008/6/30,B
155,2008/9/30,A
155,2008/9/30,B
155,2008/12/31,A
155,2008/12/31,B
155,2008/1/1,A
155,2008/1/1,B
155,2009/3/31,A
155,2009/3/31,B
155,2009/6/30,A
155,2009/6/30,B
155,2009/9/30,A
155,2009/9/30,B
155,2009/12/31,A
155,2009/12/31,B
155,2009/1/1,A
155,2009/1/1,B
155,2010/3/31,A
155,2010/3/31,B
155,2010/6/30,A
155,2010/6/30,B
155,2010/9/30,A
155,2010/9/30,B
155,2010/12/31,A
155,2010/12/31,B
155,2010/1/1,A
155,2010/1/1,B
155,2011/3/31,A
155,2011/3/31,B
155,2011/6/30,A
155,2011/6/30,B
155,2011/9/30,A
155,2011/9/30,B
155,2011/12/31,B
155,2011/12/31,A
155,2011/1/1,A
155,2011/1/1,B
155,2012/3/31,A
155,2012/3/31,B
155,2012/6/30,A
155,2012/6/30,B
155,2012/9/30,A
155,2012/9/30,B
155,2012/12/31,B
155,2012/12/31,A
155,2012/1/1,B
155,2012/1/1,A
155,2013/3/31,B
155,2013/3/31,A
155,2013/6/30,A
155,2013/6/30,B
155,2013/9/30,B
155,2013/9/30,A
155,2013/12/31,B
155,2013/12/31,A
155,2013/1/1,B
155,2013/1/1,A
155,2014/3/31,A
155,2014/3/31,B
155,2014/6/30,A
155,2014/6/30,B
155,2014/9/30,A
155,2014/9/30,B
155,2014/12/31,B
155,2014/12/31,A
155,2014/1/1,B
155,2014/1/1,A
155,2015/3/31,B
155,2015/3/31,A
155,2015/6/30,B
155,2015/6/30,A
155,2015/9/30,B
155,2015/9/30,A
155,2015/12/31,B
155,2015/12/31,A
155,2015/1/1,B
155,2015/1/1,A
155,2016/3/31,B
155,2016/3/31,A
155,2016/6/30,B
155,2016/6/30,A
155,2016/9/30,B
155,2016/9/30,A
155,2016/12/31,B
155,2016/12/31,A
155,2016/1/1,B
155,2016/1/1,A
403,2002/3/31,A
403,2002/6/30,A
403,2002/9/30,A
403,2002/9/30,B
403,2002/12/31,A
403,2002/1/1,A
403,2003/3/31,A
403,2003/6/30,A
403,2003/9/30,A
403,2003/9/30,B
403,2003/12/31,A
403,2003/12/31,B
403,2003/1/1,A
403,2003/1/1,B
403,2004/3/31,A
403,2004/3/31,B
403,2004/6/30,A
403,2004/6/30,B
403,2004/9/30,A
403,2004/9/30,B
403,2004/12/31,A
403,2004/12/31,B
403,2004/1/1,A
403,2004/1/1,B
403,2005/3/31,A
403,2005/3/31,B
403,2005/6/30,A
403,2005/6/30,B
403,2005/9/30,A
