代码,名称,实际控制人,控制人类型,控制人简介,证监会行业,Wind行业
000004.SZ,国农科技,李林琳,个人,"女,1984年11月出生,中国籍,2008年12月毕业于澳大利亚新南威尔士大学会计学专业,本科;2010年初毕业于澳大利亚新南威尔士大学法学专业,本科;2010年1月至2月在悉尼安永会计师事务所实习;2010年3月至7月在澳大利亚合华利胜律师事务所实习;2012年6月毕业于北大光华管理学院应用经济系,产业经济学硕士.2013年5月份起任国农科技总经理.",CSRC医药制造业,Wind制药、生物科技与生命科学
000005.SZ,世纪星源,"丁芃,郑列列",个人,"丁芃:女,中国籍,无其他国家或地区居留权,最近5 年担任本司董事局主席,中国投资有限公司董事.郑列列:男,中国籍,有香港居留权,最近5 年担任本司董事,总裁,中国投资有限公司董事",CSRC生态保护和环境治理业,Wind房地产Ⅱ
000006.SZ,深振业A,深圳市人民政府国有资产监督管理委员会,地方国资委,"深圳市国资局代表深圳市政府对我公司行使出资人的权利,其办公地址位于深圳市福田区深南大道投资大厦,邮政编码:518026,负责人:张晓莉.成立日期:2004 年07 月01 日,组织机构代码:K31728067",CSRC房地产业,Wind房地产Ⅱ
000007.SZ,全新好,"吴日松,陈卓婷夫妇",个人,吴日松：男，1970年出生，现任深圳市得厚丰投资有限公司董事长，深圳前海全新好金融控股投资有限公司执行董事。现任公司董事。,CSRC住宿业,Wind消费者服务Ⅱ
000010.SZ,美丽生态,郑方,个人,"郑方:男,1963年8月出生,学历:学士.工作经历:曾任深圳市五岳泰富投资有限公司董事长,深圳汇懋宏昌投资有限公司董事长,深圳科迪华电动车投资有限公司董事长,深圳天一景观园林投资有限公司董事,深圳五岳乾坤投资有限公司董事长,北京深华新股份有限公司董事,总经理.",CSRC土木工程建筑业,Wind商业和专业服务
000011.SZ,深物业A,深圳市国有资产监督管理委员会,地方国资委,深圳市国有资产监督管理委员会，法定代表人/单位负责人：高自民，主要经营业务：（一）贯彻执行国家、省、市有关国有资产管理的法律、法规，起草国有资产管理的地方性法规、规章和政策，经批准后组织实施。拟订经营性国有资产的监管制度和办法并组织实施等,CSRC房地产业,Wind房地产Ⅱ
000014.SZ,沙河股份,深圳市人民政府国有资产监督管理委员会,地方国资委,,CSRC房地产业,Wind房地产Ⅱ
000016.SZ,深康佳A,国务院国有资产监督管理委员会,国资委,,CSRC计算机、通信和其他电子设备制造业,Wind耐用消费品与服装
000017.SZ,深中华A,纪汉飞,个人,"纪汉飞先生,中国国籍,身份证号码为440511196611200075,现为深圳市国晟能源投资发展有限公司法定代表人,执行董事,总经理.纪汉飞先生除持有深圳市国民投资发展有限公司20%股权外,无投资其他企业.",CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind耐用消费品与服装
000018.SZ,神州长城,陈略,个人,"陈略,性别：男国籍：中国身份证号：44082119700405****住所：广东省珠海市香洲区香洲凤凰南路****通讯地址：北京市朝阳区石门村路二号通讯方式：010-87959288",CSRC建筑装饰和其他建筑业,Wind资本货物
000019.SZ,深深宝A,深圳市人民政府国有资产监督管理委员会,地方国资委,"深圳市人民政府国有资产监督管理委员会,法定代表人:张晓莉,主要经营业务:国有资产监督管理",CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
000020.SZ,深华发A,李中秋,个人,"李中秋先生,43 岁,本公司股东,董事长,住址:武汉市武昌区首义新村209 号.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000021.SZ,深科技,国务院国有资产监督管理委员会,国资委,,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000022.SZ,深赤湾A,国务院国有资产监督管理委员会,国资委,,CSRC水上运输业,Wind运输
000025.SZ,特力A,深圳市国有资产监督管理局,地方国资委,"深圳市国有资产监督管理局于2004年8月挂牌成立,代表深圳市政府对公司的控股股东特发集团行使出资人的权利,其办公地址位于深圳市福田区深南大道投资大厦,邮编:518026,负责人:张晓莉.",CSRC批发业,Wind零售业
000026.SZ,飞亚达A,国务院国有资产监督管理委员会,国资委,,CSRC零售业,Wind耐用消费品与服装
000027.SZ,深圳能源,深圳市人民政府国有资产监督管理委员会,地方国资委,"法定代表人/单位负责人张晓莉成立日期2004年06月28日,组织机构代码:K3172806-7,深圳市人民政府国有资产监督管理委员会作为深圳市政府的直属特设机构,仅代表国家履行出资人职责,对授权监管的国有资产依法进行监督和管理,不开展具体生产经营活动.",CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
000028.SZ,国药一致,国务院国有资产监督管理委员会,国资委,,CSRC批发业,Wind食品与主要用品零售Ⅱ
000029.SZ,深深房A,深圳市国有资产监督管理委员会,地方国资委,"法定代表人:张晓莉,成立日期;2004年08月01 日,组织机构代码:K3172806-7,主要经营业务:代表国家履行出资人职责,对授权监管的国有资产依法进行监督和管理.",CSRC房地产业,Wind房地产Ⅱ
000030.SZ,富奥股份,吉林省国有资产监督管理委员会,地方国资委,,CSRC汽车制造业,Wind汽车与汽车零部件
000031.SZ,中粮地产,国务院国有资产监督管理委员会,国资委,,CSRC房地产业,Wind房地产Ⅱ
000032.SZ,深桑达A,国务院国有资产监督管理委员会,国资委,,CSRC批发业,Wind技术硬件与设备
000034.SZ,神州数码,郭为,个人,1998年至2001年，郭为先生在联想集团任职，历任公关部和业务部总经理、助理总裁、执行董事、高级副总裁。2000年，联想集团分拆后，郭为先生历任神码控股总裁、总裁兼首席执行官等职务。目前郭为先生担任神码控股董事局主席，神码中国董事长兼总经理。,CSRC批发业,Wind技术硬件与设备
000035.SZ,中国天楹,严圣军,个人,"严圣军先生,研究生学历,高级经济师,南通市第十四届人大代表,南通市海安县第十五届人大代表.曾任海安县第十二届特邀政协委员,中国环境科学学会特邀常务理事,江苏可再生能源行业协会副理事长.中华民营企业联合会副会长,中国资源综合利用协会发电分会副会长,中华环保联合会能源环境专业委员会副会长,中国可再生能源行业协会副会长,中国资源综合利用发电咨询委员会专家,江苏省工业经济联合会理事,江苏省企业联合会理事,江苏省企业家协会理事.2007—2011年5月,担任江苏天楹集团董事长,2011年5月至今,任江苏天楹环保董事长,兼任江苏天楹集团董事长,2014年6月至今,任中国天楹董事长.",CSRC生态保护和环境治理业,Wind商业和专业服务
000035.SZ,中国天楹,茅洪菊,个人,"茅洪菊女士,大专学历,高级经济师.2007年至2011年5月任江苏天楹集团副总经理;2011年5月至2014年6月,任江苏天楹环保副总经理,2014年6月至今,任中国天楹董事兼副总裁.",CSRC生态保护和环境治理业,Wind商业和专业服务
000038.SZ,深大通,姜剑,个人,"姜剑先生,1967年出生,硕士学历,经济师.现任青岛亚星实业有限公司董事长兼总经理,青岛市第十三届人大代表.",CSRC商务服务业,Wind媒体Ⅱ
000040.SZ,东旭蓝天,李兆廷,个人,李兆廷，中国国籍，东旭集团董事长/总经理,CSRC房地产业,Wind房地产Ⅱ
000042.SZ,中洲控股,黄光苗,境外,"黄光苗,中国香港籍,中洲集团创始人,自1993年起至今担任中洲(集团)投资有限公司董事长.",CSRC房地产业,Wind房地产Ⅱ
000043.SZ,中航地产,国务院国有资产监督管理委员会,国资委,,CSRC房地产业,Wind房地产Ⅱ
000045.SZ,深纺织A,深圳市人民政府国有资产监督管理委员会,地方国资委,,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000046.SZ,泛海控股,卢志强,个人,卢志强先生，硕士研究生，研究员职称。历任全国工商联副主席，泛海控股第三至第七届董事会董事长。现任全国政协常委、中国民间商会副会长、泛海控股第八届董事会董事长、泛海集团有限公司董事长兼总裁、中国泛海董事长兼总裁、中国民生银行股份有限公司副董事长、联想控股股份有限公司董事、复旦大学校董等。,CSRC房地产业,Wind房地产Ⅱ
000048.SZ,康达尔,罗爱华,个人,"罗爱华,中国国籍,1987年毕业于武汉城建学院城市规划系,建筑师,规划师.曾就学于西安西北建筑工程学院建筑系.曾担任武汉职工大学建筑教学工作;武汉建科院,深圳建科中心,深圳设计装饰公司建筑项目负责人;深圳口岸管理服务中心基建部长,中外建深圳设计公司承包人,中外建南方工程建设公司副总经理等职.现任深圳市华超投资发展有限公司董事长.",CSRC农副食品加工业,Wind食品、饮料与烟草
000049.SZ,德赛电池,惠州市国有资产监督管理委员会,地方国资委,,CSRC电气机械及器材制造业,Wind资本货物
000050.SZ,深天马A,国务院国有资产监督管理委员会,国资委,,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000055.SZ,方大集团,熊建明,个人,"熊建明:中国国籍,近五年内一直担任本公司董事长兼总裁.管理哲学博士,高级工程师,北京建筑工程学院及南昌大学兼职教授.曾任职于江西省机械设计研究院,深圳市人民政府蛇口区管理局等单位,曾任广东省第十届人大代表,深圳市第二,三届人大代表.现任本公司董事长,总裁,深圳市南山区第五届人大常委,深圳市半导体照明产业促进会理事长,深圳市工业经济联合会副会长,深圳市南山区慈善会名誉会长等职.",CSRC金属制品业,Wind资本货物
000056.SZ,皇庭国际,郑康豪,个人,郑康豪先生：男，1976年出生，曾就读于深圳大学工商管理专业。现任百利亚太投资有限公司董事、深圳市皇庭集团有限公司董事长兼总裁、深圳市皇庭房地产开发有限公司执行董事兼总裁、深圳市皇庭金融控股有限公司执行董事兼总裁，兼任深圳市政协委员、深圳市总商会（工商联）副会长、深圳国际商会副会长、深圳市光彩事业促进会副会长等社会职务。2010年9月起任公司董事长。,CSRC房地产业,Wind房地产Ⅱ
000058.SZ,深赛格,深圳市人民政府国有资产监督管理委员会,地方国资委,深圳市人民政府国有资产监督管理委员会，法定代表人/单位负责人：高自民,CSRC商务服务业,Wind房地产Ⅱ
000059.SZ,华锦股份,中国兵器工业集团公司,中央国有企业,"中国兵器工业集团公司,单位负责人尹家绪,成立日期1999.07.01,组织机构代码71092491-0,许可经营项目：坦克装甲车辆、火炮、火箭炮、火箭弹、导弹、炮弹、枪弹、炸弹、航空炸弹、深水炸弹、引信、火工品、火炸药、推进剂、战斗部、火控指挥设备、单兵武器、民用枪支弹药的开发、设计、制造、销售；对外派遣境外工业工程所需的劳务人员（有效期2013年8月11日），一般经营项目：国有资产投资及经营管理；夜视器材、光学产品、电子与光电子产品、工程爆破与防化器材及模拟训练器材、车辆、仪器仪表、消防器材、环保设备、工程与建筑机械、信息与通讯设备、化工材料（危险品除外）、金属与非金属材料及其制品、工程建筑材料的开发设计、制造销售；设备维修；民用爆破器材企业的投资管理；货物仓储、货物陆路运输；工程勘察设计、施工、承包、监理；设备安装；国内展览；种植业、养殖业经营；农副产品深加工；与上述业务相关的技术开发、技术转让、技术咨询、技术服务；进出口业务；承包境外工业工程和境内国际招标工程。",CSRC石油加工、炼焦及核燃料加工业,Wind能源Ⅱ
000060.SZ,中金岭南,广东省人民政府国有资产监督管理委员会,地方国资委,,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
000061.SZ,农产品,深圳市人民政府国有资产监督管理委员会,地方国资委,"深圳市人民政府国有资产监督管理委员会,为深圳市政府直属特设机构,办公地址:深圳市福田区深南大道4009号投资大厦17楼,负责人:张晓莉女士.",CSRC商务服务业,Wind食品与主要用品零售Ⅱ
000062.SZ,深圳华强,梁光伟,个人,梁光伟;国籍:中国;1、担任深圳华强集团有限公司董事长；2、担任深圳华强方特文化科技集团股份有限公司董事长；3、担任深圳华强资产管理集团有限责任公司董事长；4、担任深圳华强升鸿投资有限公司董事；5、担任深圳华强前海科技有限公司董事长、董事；6、担任深圳前海华强金融控股有限公司董事；7、担任深圳华强集团财务有限公司董事；8、担任深圳华强高新产业园投资发展有限公司董事；9、担任深圳华强小额贷款有限公司董事长、董事；10、担任深圳前海华强兴和融资租赁发展有限公司董事；11、担任深圳市昆毅投资有限公司执行董事；12、担任深圳前海华强融资担保有限公司董事长；13、担任深圳前海华强商业保理有限公司董事；14、担任深圳华强兆阳能源有限公司董事。,CSRC商务服务业,Wind房地产Ⅱ
000065.SZ,北方国际,中国兵器工业集团公司,中央国有企业,,CSRC土木工程建筑业,Wind资本货物
000065.SZ,北方国际,中国兵器装备集团公司,中央国有企业,,CSRC土木工程建筑业,Wind资本货物
000066.SZ,中国长城,国务院国有资产监督管理委员会,国资委,,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000068.SZ,华控赛格,黄俞,个人,黄俞，现任深圳市华融泰资产管理有限公司董事长，深圳华控赛格股份有限公司董事长，联合水泥控股有限公司主席兼执行董事，鹏华基金管理有限公司监事会主席，深圳市前海清控弘泰投资发展有限公司董事长、总经理，深圳市前海弘泰基金管理有限公司董事长，深圳市奥融信投资发展有限公司执行（常务）董事、总经理，清华控股有限公司高级副总裁，同方股份有限公司副董事长。,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
000069.SZ,华侨城A,国务院国有资产监督管理委员会,国资委,,CSRC公共设施管理业,Wind消费者服务Ⅱ
000070.SZ,特发信息,深圳市国有资产监督管理委员会,地方国资委,"公司实际控制人深圳市国有资产监督管理局于2004年8月挂牌成立,代表深圳市政府对公司的第一大股东特发集团行使出资人的权利,其办公地址位于深圳市福田区深南大道投资大厦,邮编:518026,负责人:张晓莉.",CSRC电气机械及器材制造业,Wind技术硬件与设备
000078.SZ,海王生物,张思民,个人,"男,1962年出生.1983年毕业于哈尔滨工业大学,2000年获南开大学经济学博士学位.澳大利亚纽卡素(NEWCASTLE)大学荣誉博士,哈尔滨工业大学兼职教授,白求恩医科大学药学院名誉院长.曾荣获中国杰出青年企业家,中国十大杰出青年,广东省十大杰出青年,广东省劳动模范,中国特色社会主义事业建设者等殊荣.主要社会职务:第十一届全国人大代表,中华全国青年联合会常委,全国工商业联合会常委,中国企业联合会,中国企业家协会常务理事,广东省工商联兼职副主席,广东省广东高科技产业商会理事会主席,广东省医药行业协会常务副会长,深圳市总商会(工商联)会长,深圳第四届市政协常委.企业职务:公司第五届董事局主席,深圳海王集团股份有限公司董事长,总裁,中国海王星辰连锁药店有限公司董事长,深圳海王健康连锁店有限公司董事长等职务.",CSRC零售业,Wind食品与主要用品零售Ⅱ
000088.SZ,盐田港,深圳市人民政府国有资产监督管理委员会,地方国资委,,CSRC道路运输业,Wind运输
000089.SZ,深圳机场,深圳市人民政府国有资产监督管理委员会,地方国资委,深圳市国有资产监督管理委员会，法定代表人/单位负责人高自民，组织机构代码K3172806-7,CSRC航空运输业,Wind运输
000090.SZ,天健集团,深圳市人民政府国有资产监督管理委员会,地方国资委,"深圳市人民政府国有资产监督管理委员会,法定代表人/单位负责人:高自民,成立日期:2004年07月01日,组织机构代码K31728067",CSRC土木工程建筑业,Wind资本货物
000096.SZ,广聚能源,深圳市南山区国有资产监督管理委员会,地方国资委,,CSRC批发业,Wind能源Ⅱ
000099.SZ,中信海直,财政部,中央国家机关,,CSRC航空运输业,Wind运输
