证券代码,所属行业,上市时间,公司性质,实际控制人,控制人类型,聘请的会计师事务所,是否在境外上市,统计年度
000001.SZ,货币金融服务,1991/4/3,其他,,,普华永道中天会计师事务所,否,2015
000002.SZ,房地产业,1991/1/29,国有企业,,,毕马威华振会计师事务所(特殊普通合伙),是,2015
000004.SZ,医药制造业,1991/1/14,民营企业,李林琳,自然人,中审亚太会计师事务所(特殊普通合伙),否,2015
000005.SZ,生态保护和环境治理业,1990/12/10,民营企业,丁芃;郑列列,自然人,中审众环会计师事务所(特殊普通合伙),否,2015
000006.SZ,房地产业,1992/4/27,国有企业,深圳市人民政府国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000007.SZ,住宿业,1992/4/13,民营企业,吴日松;陈卓婷夫妇,自然人,亚太(集团)会计师事务所(特殊普通合伙),否,2015
000008.SZ,铁路、船舶、航空航天和其它运输设备制造业,1992/5/7,民营企业,文炳荣,自然人,大信会计师事务所(特殊普通合伙),否,2015
000009.SZ,综合,1991/6/25,民营企业,,,中审众环会计师事务所(特殊普通合伙),否,2015
000010.SZ,土木工程建筑业,1995/10/27,民营企业,郑方,自然人,亚太(集团)会计师事务所(特殊普通合伙),否,2015
000011.SZ,房地产业,1992/3/30,国有企业,深圳市国有资产监督管理委员会,政府机构,中审众环会计师事务所(特殊普通合伙),否,2015
000012.SZ,非金属矿物制品业,1992/2/28,其他,,,普华永道中天会计师事务所(特殊普通合伙),否,2015
000014.SZ,房地产业,1992/6/2,国有企业,深圳市人民政府国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000016.SZ,计算机、通信和其他电子设备制造业,1992/3/27,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000017.SZ,铁路、船舶、航空航天和其它运输设备制造业,1993/3/31,民营企业,纪汉飞,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000018.SZ,纺织业,1992/6/16,民营企业,陈略,自然人,立信会计师事务所(特殊普通合伙),否,2015
000019.SZ,酒、饮料和精制茶制造业,1992/10/12,国有企业,深圳市人民政府国有资产监督管理委员会,政府机构,大华会计师事务所(特殊普通合伙),否,2015
000020.SZ,计算机、通信和其他电子设备制造业,1992/4/28,民营企业,李中秋,自然人,信永中和会计师事务所(特殊普通合伙),否,2015
000021.SZ,计算机、通信和其他电子设备制造业,1994/2/2,国有企业,国务院国有资产监督管理委员会,政府机构,信永中和会计师事务所(特殊普通合伙),否,2015
000022.SZ,水上运输业,1993/5/5,国有企业,国务院国有资产监督管理委员会,政府机构,德勤华永会计师事务所(特殊普通合伙),否,2015
000023.SZ,非金属矿物制品业,1993/4/29,民营企业,,,大华会计师事务所(特殊普通合伙),否,2015
000025.SZ,批发业,1993/6/21,国有企业,深圳市国有资产监督管理局,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000026.SZ,零售业,1993/6/3,国有企业,国务院国有资产监督管理委员会,政府机构,致同会计师事务所(特殊普通合伙),否,2015
000027.SZ,电力、热力生产和供应业,1993/9/3,国有企业,深圳市人民政府国有资产监督管理委员会,政府机构,德勤华永会计师事务所(特殊普通合伙),否,2015
000028.SZ,批发业,1993/8/9,国有企业,国务院国有资产监督管理委员会,政府机构,普华永道中天会计师事务所(特殊普通合伙),否,2015
000029.SZ,房地产业,1993/9/15,国有企业,深圳市国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000030.SZ,汽车制造业,1993/9/29,国有企业,吉林省国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000031.SZ,房地产业,1993/10/8,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000032.SZ,批发业,1993/10/28,国有企业,国务院国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
000033.SZ,住宿业,1994/1/3,民营企业,郭耀名,自然人,天健会计师事务所(特殊普通合伙),否,2015
000034.SZ,综合,1994/5/9,民营企业,王晓岩,自然人,信永中和会计师事务所(特殊普通合伙),否,2015
000035.SZ,生态保护和环境治理业,1994/4/8,民营企业,严圣军;茅洪菊,自然人,立信会计师事务所(特殊普通合伙),否,2015
000036.SZ,房地产业,1994/6/17,民营企业,,,大华会计师事务所(特殊普通合伙),否,2015
000037.SZ,电力、热力生产和供应业,1994/7/1,国有企业,,,瑞华会计师事务所(特殊普通合伙),否,2015
000038.SZ,房地产业,1994/8/8,民营企业,姜剑,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000039.SZ,金属制品业,1994/4/8,其他,,,普华永道中天会计师事务所(特殊普通合伙),是,2015
000040.SZ,房地产业,1994/8/8,民营企业,李兆廷,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000042.SZ,房地产业,1994/9/21,其他,黄光苗,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000043.SZ,房地产业,1994/9/28,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000045.SZ,计算机、通信和其他电子设备制造业,1994/8/15,国有企业,深圳市人民政府国有资产监督管理委员会,政府机构,中勤万信会计师事务所(特殊普通合伙),否,2015
000046.SZ,房地产业,1994/9/12,民营企业,卢志强,自然人,立信会计师事务所(特殊普通合伙),否,2015
000048.SZ,农副食品加工业,1994/11/1,民营企业,罗爱华,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000049.SZ,电气机械及器材制造业,1995/3/20,国有企业,惠州市国有资产监督管理委员会,政府机构,大华会计师事务所(特殊普通合伙),否,2015
000050.SZ,计算机、通信和其他电子设备制造业,1995/3/15,国有企业,国务院国有资产监督管理委员会,政府机构,普华永道中天会计师事务所(特殊普通合伙),否,2015
000055.SZ,金属制品业,1996/4/15,民营企业,熊建明,自然人,致同会计师事务所(特殊普通合伙),否,2015
