stkcd,ipoyear
000001,1989
000002,1988
000003,1989
000004,1989
000005,1990
000006,1989
000007,1988
000008,1989
000009,1991
000010,1993
000011,1991
000013,1991
000014,1991
000015,1991
000018,1992
000019,1991
000020,1992
000021,1993
000022,1993
000023,1993
000024,1993
000026,1993
000027,1993
000028,1993
000029,1993
000030,1993
000031,1993
000032,1993
000033,1993
000034,1993
000035,1993
000036,1993
000037,1994
000038,1993
000040,1994
000042,1994
000043,1994
000045,1994
000046,1994
000047,1994
000048,1994
000049,1995
000050,1995
000059,1997
000060,1997
000061,1996
000062,1997
000063,1997
000065,1998
000066,1997
000068,1997
000069,1997
000070,2e3
000078,1998
000088,1997
000089,1998
000090,1999
000096,2e3
000099,2e3
000100,2004
000150,2e3
000151,2e3
000153,2e3
000155,2e3
000156,2e3
000157,2e3
000158,2e3
000159,2e3
000166,2015
000301,2e3
000333,2013
000338,2007
000400,1997
000401,1996
000402,1996
000403,1996
000404,1996
000405,1996
000406,1996
000407,1996
000408,1996
000409,1996
000410,1996
000411,1996
000412,1996
000415,1996
000416,1996
000417,1996
000419,1996
000420,1996
000421,1996
000422,1996
000423,1996
000425,1996
000426,1996
000428,1996
000430,1996
000498,1997
000501,1992
000502,1991
000503,1991
000504,1991
000505,1992
000506,1989
000507,1989
000508,1992
000509,1992
000510,1992
000511,1989
000514,1992
000515,1992
000516,1992
000517,1993
000518,1993
000519,1989
000520,1993
000521,1993
000522,1993
000523,1993
000524,1993
000525,1993
000526,1992
000527,1993
000528,1993
000529,1993
000530,1993
000531,1993
000532,1993
000533,1993
000534,1993
000535,1993
000536,1993
000537,1993
000538,1993
000539,1993
000540,1993
000541,1993
000542,1993
000543,1993
000544,1993
000545,1993
000546,1993
000547,1993
000548,1993
000549,1993
000550,1993
000551,1993
000552,1993
000553,1993
000554,1992
000555,1993
000556,1994
000557,1993
000558,1993
000559,1993
000560,1993
000561,1993
000562,1993
000563,1992
000564,1992
000565,1994
000566,1994
000567,1994
000568,1994
000569,1990
000570,1994
000571,1994
000572,1994
000573,1994
000576,1994
000578,1995
000582,1990
000583,1992
000584,1992
000585,1995
000586,1992
000587,1992
000588,1995
000589,1996
000590,1996
000591,1988
000592,1996
000593,1993
000594,1989
000595,1996
000597,1996
000598,1996
000599,1996
000600,1996
000601,1996
000602,1996
000603,1996
000605,1996
