stkcd,year,st
000013,2002,1
000013,2003,1
000155,2002,1
000155,2003,1
000155,2004,1
000155,2005,1
000155,2006,1
000155,2007,1
000155,2008,1
000155,2009,1
000155,2010,1
000155,2011,1
000155,2012,1
000155,2013,1
000155,2014,1
000155,2015,1
000155,2016,1
000403,2002,1
000403,2003,1
000403,2004,1
000403,2005,1
000403,2006,1
000403,2007,1
000403,2008,1
000403,2009,1
000403,2010,1
000403,2011,1
000403,2012,1
000403,2013,1
000403,2014,1
000403,2015,1
000403,2016,1
000405,2002,1
000410,2002,1
000410,2003,1
000410,2004,1
000410,2005,1
000410,2006,1
000410,2007,1
000410,2008,1
000410,2009,1
000410,2010,1
000410,2011,1
000410,2012,1
000410,2013,1
000410,2014,1
000410,2015,1
000410,2016,1
000412,2002,1
000511,2002,1
000511,2003,1
000511,2004,1
000511,2005,1
000511,2006,1
000511,2007,1
000511,2008,1
000511,2009,1
000511,2010,1
000511,2011,1
000511,2012,1
000511,2013,1
000511,2014,1
000511,2015,1
000526,2002,1
000526,2003,1
000526,2004,1
000526,2005,1
000526,2006,1
000526,2007,1
000526,2008,1
000526,2009,1
000526,2010,1
000526,2011,1
000526,2012,1
000526,2013,1
000526,2014,1
000526,2015,1
000526,2016,1
000535,2002,1
000535,2003,1
000535,2004,1
000583,2002,1
000583,2003,1
000583,2004,1
000583,2005,1
000583,2006,1
000595,2002,1
000595,2003,1
000595,2004,1
000595,2005,1
000595,2006,1
000595,2007,1
000595,2008,1
000595,2009,1
000595,2010,1
000595,2011,1
000595,2012,1
000595,2013,1
000595,2014,1
000595,2015,1
000595,2016,1
000611,2002,1
000611,2003,1
000611,2004,1
000611,2005,1
000611,2006,1
000611,2007,1
000611,2008,1
000611,2009,1
000611,2010,1
000611,2011,1
000611,2012,1
000611,2013,1
000611,2014,1
000611,2015,1
000611,2016,1
000613,2002,1
000613,2003,1
000613,2004,1
000613,2005,1
000613,2006,1
000613,2007,1
000613,2008,1
000613,2009,1
000613,2010,1
000613,2011,1
000613,2012,1
000613,2013,1
000613,2014,1
000613,2015,1
000613,2016,1
000621,2002,1
000621,2003,1
000629,2002,1
000629,2003,1
000629,2004,1
000629,2005,1
000629,2006,1
000629,2007,1
000629,2008,1
000629,2009,1
000629,2010,1
000629,2011,1
000629,2012,1
000629,2013,1
000629,2014,1
000629,2015,1
000629,2016,1
000659,2002,1
000659,2003,1
000659,2004,1
000659,2005,1
000659,2006,1
000659,2007,1
000659,2008,1
000659,2009,1
000659,2010,1
000659,2011,1
000659,2012,1
000659,2013,1
000659,2014,1
000659,2015,1
000659,2016,1
000660,2002,1
000660,2003,1
000691,2002,1
000691,2003,1
000691,2004,1
000691,2005,1
000691,2006,1
000691,2007,1
000691,2008,1
000691,2009,1
000691,2010,1
000691,2011,1
000691,2012,1
000691,2013,1
000691,2014,1
000691,2015,1
000691,2016,1
000693,2002,1
000693,2003,1
000693,2004,1
000693,2005,1
000693,2006,1
000693,2007,1
000693,2008,1
000693,2009,1
000693,2010,1
000693,2011,1
000693,2012,1
000693,2013,1
000693,2014,1
000693,2015,1
000693,2016,1
000699,2002,1
000699,2003,1
000699,2004,1
000699,2005,1
000699,2006,1
000710,2002,1
000710,2003,1
000710,2004,1
000710,2005,1
000710,2006,1
000710,2007,1
000710,2008,1
000710,2009,1
000710,2010,1
000710,2011,1
000710,2012,1
000710,2013,1
000710,2014,1
000710,2015,1
000710,2016,1
000730,2002,1
000730,2003,1
000755,2002,1
000755,2003,1
000755,2004,1
000755,2005,1
000755,2006,1
000755,2007,1
000755,2008,1
000755,2009,1
000755,2010,1
000755,2011,1
000755,2012,1
000755,2013,1
000755,2014,1
000755,2015,1
000755,2016,1
000765,2002,1
000765,2003,1
000765,2004,1
000769,2002,1
000769,2003,1
000769,2004,1
000780,2002,1
000780,2003,1
000780,2004,1
000780,2005,1
000780,2006,1
000780,2007,1
000780,2008,1
000780,2009,1
000780,2010,1
000780,2011,1
000780,2012,1
000780,2013,1
000780,2014,1
000780,2015,1
000780,2016,1
000787,2002,1
000787,2003,1
000787,2004,1
000787,2005,1
000787,2006,1
000787,2007,1
000787,2008,1
000787,2009,1
000787,2010,1
000787,2011,1
000803,2002,1
000803,2003,1
000803,2004,1
000803,2005,1
000803,2006,1
000803,2007,1
000803,2008,1
000803,2009,1
000803,2010,1
000803,2011,1
000803,2012,1
000803,2013,1
000803,2014,1
000803,2015,1
000803,2016,1
000805,2002,1
000805,2003,1
000805,2004,1
000805,2005,1
000805,2006,1
000805,2007,1
000805,2008,1
000805,2009,1
000805,2010,1
000805,2011,1
000809,2002,1
000809,2003,1
000809,2004,1
000809,2005,1
000809,2006,1
000809,2007,1
000809,2008,1
000809,2009,1
000809,2010,1
000809,2011,1
000809,2012,1
000809,2013,1
000809,2014,1
000809,2015,1
000809,2016,1
000827,2002,1
000827,2003,1
000827,2004,1
000832,2002,1
000832,2003,1
000832,2004,1
000832,2005,1
000922,2002,1
000922,2003,1
000922,2004,1
000922,2005,1
000922,2006,1
000922,2007,1
000922,2008,1
000922,2009,1
000922,2010,1
000922,2011,1
000922,2012,1
000922,2013,1
000922,2014,1
000922,2015,1
000922,2016,1
000932,2002,1
000932,2003,1
000932,2004,1
000932,2005,1
000932,2006,1
000932,2007,1
000932,2008,1
000932,2009,1
000932,2010,1
000932,2011,1
000932,2012,1
000932,2013,1
000932,2014,1
000932,2015,1
000932,2016,1
000950,2002,1
000950,2003,1
000950,2004,1
000950,2005,1
000950,2006,1
000950,2007,1
000950,2008,1
000950,2009,1
000950,2010,1
000950,2011,1
000950,2012,1
000950,2013,1
000950,2014,1
000950,2015,1
000950,2016,1
000953,2002,1
000953,2003,1
000953,2004,1
000953,2005,1
000953,2006,1
000953,2007,1
000953,2008,1
000953,2009,1
000953,2010,1
000953,2011,1
000953,2012,1
000953,2013,1
000953,2014,1
000953,2015,1
000953,2016,1
000972,2002,1
000972,2003,1
000972,2004,1
000972,2005,1
000972,2006,1
000972,2007,1
000972,2008,1
000972,2009,1
000972,2010,1
000972,2011,1
000972,2012,1
000972,2013,1
000972,2014,1
000972,2015,1
000972,2016,1
000982,2002,1
000982,2003,1
000982,2004,1
000982,2005,1
000982,2006,1
000982,2007,1
000982,2008,1
000982,2009,1
000982,2010,1
000982,2011,1
000982,2012,1
000982,2013,1
000982,2014,1
000982,2015,1
000982,2016,1
000995,2002,1
000995,2003,1
000995,2004,1
000995,2005,1
000995,2006,1
000995,2007,1
000995,2008,1
000995,2009,1
000995,2010,1
000995,2011,1
000995,2012,1
000995,2013,1
000995,2014,1
000995,2015,1
000995,2016,1
002070,2006,1
002070,2007,1
002070,2008,1
002070,2009,1
002070,2010,1
002070,2011,1
002070,2012,1
002070,2013,1
002070,2014,1
002070,2015,1
002070,2016,1
002134,2007,1
002134,2008,1
002134,2009,1
002134,2010,1
002134,2011,1
002134,2012,1
002134,2013,1
002134,2014,1
002134,2015,1
002134,2016,1
002207,2007,1
002207,2008,1
002207,2009,1
002207,2010,1
002207,2011,1
002207,2012,1
002207,2013,1
002207,2014,1
002207,2015,1
002207,2016,1
002248,2008,1
002248,2009,1
002248,2010,1
002248,2011,1
002248,2012,1
002248,2013,1
002248,2014,1
002248,2015,1
002248,2016,1
002306,2009,1
002306,2010,1
002306,2011,1
002306,2012,1
002306,2013,1
002306,2014,1
002306,2015,1
002306,2016,1
002312,2009,1
002312,2010,1
002312,2011,1
002312,2012,1
002312,2013,1
002312,2014,1
002312,2015,1
002312,2016,1
002473,2010,1
002473,2011,1
002473,2012,1
002473,2013,1
002473,2014,1
002473,2015,1
002473,2016,1
002490,2010,1
002490,2011,1
002490,2012,1
002490,2013,1
002490,2014,1
