stkcd,year,ind,grev,lev,roa,roegrate,peratio,soe,saction,lnassets,loss,ndts,complex
000001,2002,J66,0.45253,0.977324,0.003019,0.038689,47.224658,0,3,25.835253625302954,1,0.0020023667228915663,NA
000001,2003,J66,0.016814,0.97944,0.001763,0.052299,52.311392,0,3,25.985956025851298,1,0.0016822292176165803,NA
000001,2004,J66,0.432101,0.977068,0.001457,0.181479,44.251575,0,4,26.041385830790627,1,0.0017145862843137255,NA
000001,2005,J66,0.017174,0.977999,0.001622,0.076501,33.967629,0,2,26.15698784050065,1,0.0016661479781659389,NA
000001,2006,J66,0.489543,0.975153,0.005396,0.283841,21.610181,0,1,26.287786244269103,1,0.0013031443218390806,NA
000001,2007,J66,0.515916,0.963107,0.008641,1.008825,33.407076,0,1,26.589733893879707,1,6.258555240793201e-4,NA
000001,2008,J66,0.317901,0.965431,0.001485,0.261011,47.84321,0,0,26.884473158641487,1,6.558755274261604e-4,NA
000001,2009,J66,0.053869,0.965177,0.009472,0.248087,15.043431,0,1,27.09999278484504,1,6.664931972789115e-4,NA
000001,2010,J66,0.228627,0.954349,0.009557,0.621796,8.757158,0,1,27.31219231447993,1,6.773755158184319e-4,NA
000001,2011,J66,0.656281,0.940087,0.010467,1.270668,7.687127,0,0,27.862132836891934,1,7.221111111111111e-4,NA
000001,2012,J66,0.337744,0.947216,0.009433,0.124942,6.074858,0,1,28.10725529492492,1,7.803515527950311e-4,0.061616049689440996
000001,2013,J66,0.318226,0.940752,0.008708,0.321729,7.657557,0,6,28.267597945000098,1,7.417989417989418e-4,0.10158730158730159
000001,2014,J66,0.377101,0.940109,0.009711,0.168343,9.139077,0,4,28.414922659756957,1,7.264840182648402e-4,0.11689497716894977
000001,2015,J66,0.312414,0.935584,0.009317,0.233305,7.846554,0,1,28.551303869072242,1,7.055776892430279e-4,0.1250996015936255
000001,2016,J66,0.126325,0.931547,0.008277,0.251833,6.91389,0,4,28.712826286280276,1,6.545762711864406e-4,NA
000002,2002,K70,0.026777,0.582944,0.054161,0.096087,15.296902,1,3,22.8293276817828,1,0.007597654988134147,0.7641921861901105
000002,2003,K70,0.394744,0.549243,0.060275,0.389324,16.131837,1,3,23.080437604313712,1,0.01180001538363632,0.8556825051277601
000002,2004,K70,0.201748,0.594163,0.069947,0.324336,13.103856,1,4,23.466324206908695,1,0.004271214950015911,0.7328002607381119
000002,2005,K70,0.377141,0.609809,0.076395,0.361138,11.193314,1,2,23.813962415087698,1,0.001790399686436365,0.7244213576590621
000002,2006,K70,0.690355,0.649418,0.065487,0.981768,29.22806,1,1,24.604992870452797,1,0.0010896752715189857,0.6564009583053226
000002,2007,K70,0.990486,0.661125,0.070893,0.994563,37.271017,1,1,25.328436022934504,1,0.001106386973,0.673377598836
000002,2008,K70,0.153833,0.674441,0.042309,0.144431,15.284721,1,0,25.50238933005794,1,8.892276722689076e-4,0.7295921963798319
000002,2009,K70,0.192459,0.670017,0.050069,0.169763,18.484927,1,1,25.650519522103615,1,7.611870898550725e-4,0.6579600450152174
000002,2010,K70,0.037496,0.746861,0.050048,0.202114,10.224503,1,1,26.098544244630578,1,4.4439609652777775e-4,0.6231204840787037
000002,2011,K70,0.415447,0.770997,0.045325,0.242668,7.080777,1,0,26.41362529127047,1,3.8326946216216216e-4,0.7078203168277027
000002,2012,K70,0.436505,0.783163,0.046407,0.210897,7.104509,1,1,26.660802042028838,1,4.81849670712401e-4,0.677800919585752
000002,2013,K70,0.313263,0.77997,0.042651,0.283683,4.833991,1,6,26.894966434357325,1,3.7418684801670144e-4,0.6974508763695199
000002,2014,K70,0.081002,0.772046,0.039059,0.099149,7.954435,1,4,26.953747284524894,1,0.0010805203238188977,0.629712739765748
000002,2015,K70,0.335828,0.777015,0.046351,0.176162,10.404498,1,1,27.138362796118006,1,0.0011715323841243862,0.606400414517185
000002,2016,K70,0.229754,0.805367,0.039322,0.186098,8.001853,1,4,27.44589563180186,1,0.0013822287593261132,0.5644708265030084
000005,2002,S90,-0.181518,0.463339,-0.050037,-0.104601,-34.491294,0,3,21.322403839831626,0,0.017271484199520636,0.09309475091273794
000005,2003,S90,0.666727,0.479576,0.000515,-0.051428,2054.480568,0,3,21.30032987496265,1,0.013805255269256772,0.19206194614362546
