stkcd,year,lnfees,opinion_dum,downturn,ind,grev,lev,roa,roegrate,peratio,soe,saction,lnassets,loss,ndts,complex
000002,2002,14.381449171783176,0,0,K70,0.026777,0.582944,0.054161,0.096087,15.296902,1,3,22.8293276817828,1,0.007597654988134147,0.7641921861901105
000002,2003,14.38405777029089,0,0,K70,0.394744,0.549243,0.060275,0.389324,16.131837,1,3,23.080437604313712,1,0.01180001538363632,0.8556825051277601
000002,2004,16.031455477791297,0,0,K70,0.201748,0.594163,0.069947,0.324336,13.103856,1,4,23.466324206908695,1,0.004271214950015911,0.7328002607381119
000002,2005,14.755693582258031,0,0,K70,0.377141,0.609809,0.076395,0.361138,11.193314,1,2,23.813962415087698,1,0.001790399686436365,0.7244213576590621
000002,2006,15.321570432776172,0,0,K70,0.690355,0.649418,0.065487,0.981768,29.22806,1,1,24.604992870452797,1,0.0010896752715189857,0.6564009583053226
000002,2007,15.520258650202699,0,0,K70,0.990486,0.661125,0.070893,0.994563,37.271017,1,1,25.328436022934504,1,0.001106386973,0.673377598836
000002,2010,15.81021087118902,0,0,K70,0.037496,0.746861,0.050048,0.202114,10.224503,1,1,26.098544244630578,1,4.4439609652777775e-4,0.6231204840787037
000002,2011,15.955576721460545,0,1,K70,0.415447,0.770997,0.045325,0.242668,7.080777,1,0,26.41362529127047,1,3.8326946216216216e-4,0.7078203168277027
000002,2008,15.830413578506539,0,1,K70,0.153833,0.674441,0.042309,0.144431,15.284721,1,0,25.50238933005794,1,8.892276722689076e-4,0.7295921963798319
000002,2009,15.732433170146335,0,1,K70,0.192459,0.670017,0.050069,0.169763,18.484927,1,1,25.650519522103615,1,7.611870898550725e-4,0.6579600450152174
000002,2012,15.955576721460545,0,1,K70,0.436505,0.783163,0.046407,0.210897,7.104509,1,1,26.660802042028838,1,4.81849670712401e-4,0.677800919585752
000002,2013,15.955576721460545,0,1,K70,0.313263,0.77997,0.042651,0.283683,4.833991,1,6,26.894966434357325,1,3.7418684801670144e-4,0.6974508763695199
000002,2014,16.166885815127753,0,1,K70,0.081002,0.772046,0.039059,0.099149,7.954435,1,4,26.953747284524894,1,0.0010805203238188977,0.629712739765748
000002,2015,16.166885815127753,0,1,K70,0.335828,0.777015,0.046351,0.176162,10.404498,1,1,27.138362796118006,1,0.0011715323841243862,0.606400414517185
000002,2016,16.166885815127753,0,1,K70,0.229754,0.805367,0.039322,0.186098,8.001853,1,4,27.44589563180186,1,0.0013822287593261132,0.5644708265030084
000005,2003,13.217673557208654,1,0,S90,0.666727,0.479576,0.000515,-0.051428,2054.480568,0,3,21.30032987496265,1,0.013805255269256772,0.19206194614362546
000005,2004,13.304684934198283,1,0,S90,-0.460792,0.509352,0.000941,-0.041434,922.332257,0,4,21.316929617167897,1,0.014226300793756544,0.23574553973994913
000005,2005,13.304684934198283,1,0,S90,-0.080652,0.598387,-0.104195,-0.256843,-6.457767,0,2,21.22032107160877,0,0.011842167503035354,0.19106296883345908
000005,2009,13.304684934198283,1,1,S90,-0.602719,0.467575,-0.036127,-0.065937,-112.517198,0,1,21.000294282510335,0,0.016191618933787625,0.029869751582358876
000005,2010,13.304684934198283,1,0,S90,2.177272,0.47796,-0.003388,-0.038529,-758.091026,0,1,20.980701515091894,0,0.016828406183424873,0.05006535363164302
000005,2006,13.304684934198283,1,0,S90,6.226721,0.540864,0.03457,0.062851,41.530969,0,1,21.14741778146011,1,0.012879561189763702,0.18092048416826914
000005,2007,13.304684934198283,0,0,S90,-0.088491,0.485005,0.051757,0.069354,84.018586,0,1,21.09966175729896,1,0.018779872301132525,0.08286069602077936
000005,2008,13.304684934198283,0,1,S90,-0.636426,0.458645,0.007299,0.002131,215.962651,0,0,21.05187239722583,1,0.011628400443299458,0.0634990196203275
000005,2002,13.122363377404328,1,0,S90,-0.181518,0.463339,-0.050037,-0.104601,-34.491294,0,3,21.322403839831626,0,0.017271484199520636,0.09309475091273794
000005,2012,13.304684934198283,1,1,K70,0.56483,0.483142,0.017069,0.033583,123.313865,0,1,21.000672107219977,1,0.010846168465533568,0.11791206511982005
000005,2013,13.304684934198283,1,1,K70,-0.476352,0.474831,-0.033763,-0.084819,-53.981514,0,6,20.896087368559378,0,0.004111349097112199,0.014485707244304117
000005,2014,13.304684934198283,1,1,K70,0.013739,0.509964,0.033784,0.072841,86.849519,0,4,21.035638430279057,1,0.003852086123290389,0.012600649273943457
000005,2015,14.077874822431765,1,1,K70,0.593989,0.44704,-0.030349,0.811515,-196.693916,0,1,21.508996205172462,0,0.0022086935713689646,0.1739892026184635
000005,2016,14.077874822431765,1,1,N77,4.72788,0.463708,0.049547,0.117158,61.179557,0,4,21.650391804663464,1,0.0042078463602575385,0.2294157865012537
000006,2002,13.42984807715229,0,0,K70,0.03056,0.690935,0.018709,0.041126,25.428973,1,3,22.225314536640944,1,0.011226495906481575,0.5481428401042308
000006,2003,13.42984807715229,0,0,K70,-0.047437,0.727631,-0.07275,-0.221291,-4.326764,1,3,22.10158892572431,0,0.009589444267453655,0.6261146350911649
000006,2004,13.42984807715229,0,0,K70,-0.055416,0.718999,0.01221,0.04529,21.474603,1,4,22.114683010278593,1,0.011400383536423708,0.607563658107868
000006,2005,13.353475098367715,0,0,K70,-0.236077,0.557579,0.031709,-0.000217,10.389645,1,2,21.660563172223025,1,0.012634480030964172,0.5474271955389924
000006,2007,12.84792653170257,0,0,K70,-0.183734,0.677418,0.057952,0.354233,26.273068,1,1,22.440379192684563,1,0.004671205354482211,0.6372778493027907
000006,2008,12.84792653170257,0,1,K70,-0.00224,0.716675,0.026147,-0.066015,16.646,1,0,22.50184589299202,1,0.003813608330793285,0.8318024765766823
000006,2009,13.017002861746503,0,1,K70,0.809881,0.698577,0.050816,0.306532,17.141983,1,1,22.707300980255564,1,0.0037562242316234572,0.7447139776265987
000006,2010,13.017002861746503,0,0,K70,0.264703,0.701421,0.062684,0.167139,10.680713,1,1,22.871335447597517,1,0.0026447042849846764,0.6858501189175427
000006,2011,13.017002861746503,0,1,K70,0.107127,0.652855,0.051404,0.12923,9.340639,1,0,22.842165330823622,1,0.0021173049827612755,0.7497571095229693
000006,2006,12.84792653170257,0,0,K70,-0.125065,0.545582,0.078749,0.174304,15.783555,1,1,21.794481355007314,1,0.007496717767209525,0.453984837038061
000006,2012,13.217673557208654,0,1,K70,0.188072,0.620165,0.071277,0.228469,10.108978,1,1,22.95793928728631,1,0.002286322709706831,0.6183752183472712
000006,2013,13.592367006650065,0,1,K70,0.498858,0.579972,0.072289,0.179756,9.534941,1,6,23.022661852735038,1,0.0031667563743791325,0.5546772955132209
000006,2014,13.592367006650065,0,1,K70,-0.494946,0.64142,0.046967,0.006582,18.572347,1,4,23.18739287145586,1,0.0028690514385093296,0.5810654473194048
000006,2015,13.592367006650065,0,1,K70,0.569229,0.646151,0.035883,0.066594,35.412356,1,1,23.265143714319994,1,0.002682043558175201,0.6628816341804387
000006,2016,13.592367006650065,0,1,K70,-0.080859,0.610499,0.062138,0.141209,15.869916,1,4,23.301236625621662,1,0.003048462856197043,0.5852272524941038
000008,2003,12.100712129872347,0,0,I64,1.912834,0.494502,0.015062,-1.934957,518.581756,0,3,17.91741266652017,1,0.0359269102782087,0.0032261043689784906
000008,2004,11.982929094215963,0,0,I64,0.486501,0.197632,0.510239,1.383944,16.03331,0,4,18.32414479623141,1,0.024217784667193116,0.3234858529093689
000008,2011,11.918390573078392,0,1,F51,0.339574,0.043705,-0.006953,-0.007251,-951.638016,0,0,18.16238395823611,0,0.02084105632106377,0.030261623091401266
000008,2008,11.918390573078392,0,1,I64,0.154081,0.062781,0.009469,0.010217,435.201893,0,0,18.18387457151789,1,0.01776582194671511,0
000008,2009,11.918390573078392,0,1,I64,-0.117166,0.076589,0.00396,-0.00857,2885.147946,0,1,18.1901093920773,1,0.02034503538687853,3.1440166115028156e-5
000008,2010,11.918390573078392,0,0,F51,0.034115,0.045319,0.0113,0.014649,991.76627,0,1,18.171350044322935,1,0.020113643259430415,0.012972947621213513
000008,2005,12.100712129872347,0,0,I64,0.375383,0.249367,-0.061358,-0.06611,-53.721642,0,2,18.3223992443864,0,0.02931296406919141,0.1805495265224027
000008,2006,12.100712129872347,0,0,I64,-0.741803,0.069084,-0.020971,0.051338,-174.8995,0,1,18.157210702678988,0,0.02261557547739876,0.09080377992937613
