,date,open,close,high,low,volume,code
135,2013-07-31,3.574,3.884,3.884,3.574,30768.0,300017
136,2013-08-01,3.884,4.203,4.262,3.845,34877.0,300017
137,2013-08-02,4.21,4.06,4.225,4.022,34555.0,300017
138,2013-08-05,4.059,4.114,4.176,4.053,13308.0,300017
139,2013-08-06,4.15,4.068,4.262,4.038,24033.0,300017
140,2013-08-07,4.068,3.888,4.068,3.761,37165.0,300017
141,2013-08-08,3.859,3.892,3.963,3.821,17760.0,300017
142,2013-08-09,3.889,3.76,3.918,3.527,22824.0,300017
143,2013-08-12,3.703,3.664,3.775,3.564,26754.0,300017
144,2013-08-13,3.657,3.829,3.916,3.657,22413.0,300017
145,2013-08-14,3.832,3.908,4.001,3.755,19263.0,300017
146,2013-08-15,3.926,3.943,4.111,3.909,21295.0,300017
147,2013-08-16,3.891,3.851,4.108,3.814,17887.0,300017
148,2013-08-19,3.851,4.18,4.188,3.851,34684.0,300017
149,2013-08-20,4.247,4.362,4.363,4.113,28463.0,300017
150,2013-08-21,4.337,4.292,4.393,4.188,18258.0,300017
151,2013-08-22,4.292,4.428,4.507,4.27,18156.0,300017
152,2013-08-23,4.407,4.315,4.53,4.188,22845.0,300017
153,2013-08-26,4.397,4.333,4.561,4.269,20548.0,300017
154,2013-08-27,4.333,4.516,4.621,4.244,30172.0,300017
155,2013-08-28,4.416,4.338,4.505,4.262,27910.0,300017
156,2013-08-29,4.29,4.195,4.352,4.173,21794.0,300017
157,2013-08-30,4.12,4.03,4.255,4.024,18360.0,300017
158,2013-09-02,3.974,4.053,4.185,3.974,19915.0,300017
159,2013-09-03,4.054,4.232,4.232,3.995,21873.0,300017
160,2013-09-04,4.188,4.149,4.229,4.096,20619.0,300017
161,2013-09-05,4.113,4.188,4.247,4.061,16879.0,300017
162,2013-09-06,4.194,4.177,4.292,4.15,13648.0,300017
163,2013-09-09,4.177,4.013,4.221,3.888,34953.0,300017
164,2013-09-10,3.989,3.894,4.007,3.866,21978.0,300017
165,2013-09-11,3.881,3.819,3.948,3.739,25302.0,300017
